现在心情怎么样？,有点开心,1,有点开心,popWindow， momentPost，myTabState
,emol了,4,emol了,
,发呆,3,发呆,
今天想找人一起做什么？,聊天,14,找人一起聊天,popWindow， momentPost，myTabState
,看电影,15,找人一起看电影,
,出去玩,18,找人一起出去玩,
现在心情怎么样？,等缘分,19,,popWindow， momentPost，myTabState
,有点开心,1,,
,emo了,4,,
此刻正在做什么？,搬砖,7,,popWindow， momentPost，myTabState
,宅在家,11,,
,度假,31,,
此刻正在做什么？,等缘分,19,,popWindow， momentPost，myTabState
,摸鱼,8,,
,举手冒泡,29,,
